Timestamp,B01a - VWC (DIELEC/1/5TE) ,B01a - Weight (g)
2021-06-18T05:54:00,0.17935,6252.67
2021-06-18T05:57:00,0.17935,6252.48
2021-06-18T06:00:00,0.17935,6252.63
2021-06-18T06:03:00,0.17935,6252.35
2021-06-18T06:06:00,0.17935,6252.29
2021-06-18T06:09:00,0.17915,6252.22
2021-06-18T06:12:00,0.17935,6251.66
2021-06-18T06:15:00,0.17935,6251.78
2021-06-18T06:18:00,0.17935,6251.14
2021-06-18T06:21:00,0.17935,6251.67
2021-06-18T06:24:00,0.17915,6251.4
2021-06-18T06:27:00,0.17915,6251.15
2021-06-18T06:30:00,0.17895,6250.59
2021-06-18T06:33:00,0.17895,6250.61
2021-06-18T06:36:00,0.17915,6250.48
2021-06-18T06:39:00,0.17895,6250.25
2021-06-18T06:42:00,0.17875,6250.3
2021-06-18T06:45:00,0.17895,6250.37
2021-06-18T06:48:00,0.17895,6249.88
2021-06-18T06:51:00,0.17855,6249.55
2021-06-18T06:54:00,0.17855,6249.39
2021-06-18T06:57:00,0.17835,6249.4
2021-06-18T07:00:00,0.17855,6249
2021-06-18T07:03:00,0.17815,6248.95
2021-06-18T07:06:00,0.17815,6248.72
2021-06-18T07:09:00,0.17795,6248.55
2021-06-18T07:12:00,0.17815,6247.81
2021-06-18T07:15:00,0.17775,6247.91
2021-06-18T07:18:00,0.17795,6247.53
2021-06-18T07:21:00,0.17795,6247.39
2021-06-18T07:24:00,0.17775,6247.01
2021-06-18T07:27:00,0.17775,6246.88
2021-06-18T07:30:00,0.17715,6246.8
2021-06-18T07:33:00,0.17755,6246.46
2021-06-18T07:36:00,0.17735,6246.11
2021-06-18T07:39:00,0.17735,6245.68
2021-06-18T07:42:00,0.17735,6245.35
2021-06-18T07:45:00,0.17735,6244.68
2021-06-18T07:48:00,0.20146,6244.74
2021-06-18T07:51:00,0.23665,6244.43
2021-06-18T07:54:00,0.21871,6244.39
2021-06-18T07:57:00,0.21652,6243.68
2021-06-18T08:00:00,0.21615,6244
2021-06-18T08:03:00,0.21615,6243.13
2021-06-18T08:06:00,0.21615,6242.47
2021-06-18T08:09:00,0.21597,6242.62
2021-06-18T08:12:00,0.21561,6242.2
2021-06-18T08:15:00,0.21615,6241.57
2021-06-18T08:18:00,0.21542,6241.85
2021-06-18T08:21:00,0.21506,6240.85
2021-06-18T08:24:00,0.21524,6240.62
2021-06-18T08:27:00,0.21506,6240.06
2021-06-18T08:30:00,0.21469,6239.68
2021-06-18T08:33:00,0.21451,6239.92
2021-06-18T08:36:00,0.21469,6239.32
2021-06-18T08:39:00,0.21432,6238.56
2021-06-18T08:42:00,0.21432,6238.42
2021-06-18T08:45:00,0.21451,6237.63
2021-06-18T08:48:00,0.21432,6237.49
2021-06-18T08:51:00,0.21432,6237.32
2021-06-18T08:54:00,0.21395,6236.35
2021-06-18T08:57:00,0.21414,6236.13
2021-06-18T09:00:00,0.21359,6236.26
2021-06-18T09:03:00,0.2134,6236.35
2021-06-18T09:06:00,0.21359,6235.46
2021-06-18T09:09:00,0.21285,6234.79
2021-06-18T09:12:00,0.21285,6234.41
2021-06-18T09:15:00,0.21285,6233.51
2021-06-18T09:18:00,0.21267,6234.27
2021-06-18T09:21:00,0.21267,6233.45
2021-06-18T09:24:00,0.21248,6232.5
2021-06-18T09:27:00,0.21267,6232.62
2021-06-18T09:30:00,0.2123,6231.26
2021-06-18T09:33:00,0.21174,6231.6
2021-06-18T09:36:00,0.2123,6230.9
2021-06-18T09:39:00,0.21137,6230.72
2021-06-18T09:42:00,0.21174,6230.68
2021-06-18T09:45:00,0.211,6229.46
2021-06-18T09:48:00,0.21119,6229.33
2021-06-18T09:51:00,0.21082,6229.33
2021-06-18T09:54:00,0.21082,6228.25
2021-06-18T09:57:00,0.21082,6227.89
2021-06-18T10:00:00,0.21082,6227.85
2021-06-18T10:03:00,0.21063,6227.18
2021-06-18T10:06:00,0.21045,6226.55
2021-06-18T10:09:00,0.21026,6226.27
2021-06-18T10:12:00,0.21026,6225.27
2021-06-18T10:15:00,0.20934,6224.94
2021-06-18T10:18:00,0.20915,6224.53
2021-06-18T10:21:00,0.20915,6224.03
2021-06-18T10:24:00,0.20896,6223.67
2021-06-18T10:27:00,0.20896,6223.47
2021-06-18T10:30:00,0.20896,6222.65
2021-06-18T10:33:00,0.20896,6222.36
